latitude,longitude,api
3342951.5508462633,-10972503.27835739,42013352340000
3345066.033587486,-10958834.135443904,42013352350000
3356223.921488651,-10952923.404441252,42013352410000
3364310.7361035277,-10942295.510016236,42013352420000
3364301.198497225,-10942287.828971373,42013352430000
3335782.873244576,-10978853.943987656,42013352760000
3335779.7008844763,-10978865.74385368,42013352770000
3345063.8748731297,-10966713.329002252,42013352840000
3334960.1153024365,-10996282.457424723,42013352910000
3339334.869106946,-10964596.922843289,42013353070000
3335741.6326223603,-10979024.37412806,42013353130000
3336198.966559985,-10996509.103907978,42013353180000
3334015.605289173,-10993387.482747154,42013353220000
3337325.8720851527,-10996215.99968872,42013353510000
3339651.9399375017,-10996235.925877571,42013353620000
3343815.6889037956,-10963350.367185386,42013353630000
3335758.509538442,-10979144.042580664,42013353640000
3335759.9053745656,-10979131.908756167,42013353650000
3336982.714153499,-10974113.514791714,42013353660000
3345014.097557308,-10965653.5674499,42013353670000
3335014.422862297,-10980644.963275028,42013353800000
3343314.4159498704,-10974791.89576861,42013353860000
3342623.6095745508,-10963454.89618724,42013353870000
3343075.213345849,-10974056.853170902,42013353960000
3343076.7369156615,-10974046.72309724,42013353980000
3355845.1978705884,-10933235.773258027,42013353990000
3355850.7896840232,-10933227.090337744,42013354000000
3355932.379594526,-10933101.187993657,42013354010000
3355937.9714448354,-10933092.616392866,42013354020000
3339661.332863835,-10996228.133513216,42013354070000
3339064.387526534,-10982977.885843584,42013354280000
3339219.999437828,-10982840.628911434,42013354290000
3356236.6305230474,-10966589.76436747,42013354300000
3344321.4249692657,-10963394.004425777,42013354340000
3337391.230462561,-10965485.25237982,42013354410000
3331897.553364618,-10991974.949728478,42013354810000
3331908.4631001535,-10991974.949728478,42013354820000
3331952.9901368194,-10992008.568214696,42013354920000
3342556.7019175994,-10957860.869135898,42013355120000
3338620.53551283,-10965619.169727243,42013355180000
3338615.712495516,-10965629.077161925,42013355230000
3340672.888386594,-10968485.090017715,42013355560000
3356160.376499949,-10929915.001528172,42013355570000
3356153.005301031,-10929923.350489981,42013355580000
3356145.634106222,-10929931.699451793,42013355590000
3340684.0592130255,-10968485.090017715,42013355600000
3336050.6231666305,-10980028.253296034,42013355610000
3336050.6231666305,-10980039.385245115,42013355620000
3343239.3789998093,-10957457.22466228,42013355640000
3343232.268921655,-10957465.796263073,42013355650000
3337831.107054391,-10965486.254255237,42013355780000
3337820.7001115954,-10965485.586338293,42013355790000
3337776.9148928206,-10965455.307436798,42013355800000
3357694.4378567934,-10928637.499051828,42013356050000
3357683.3797765784,-10928639.39148317,42013356060000
3331226.114422404,-10991920.514497481,42013356070000
3331214.9515448525,-10991920.514497481,42013356080000
3331203.788676663,-10991920.514497481,42013356090000
3343020.2379855085,-10957658.935579598,42013356140000
3343013.128024832,-10957667.50718039,42013356150000
3337575.631657259,-10960412.645823352,42013356220000
3337541.746317986,-10960391.16116163,42013356230000
3341220.5238330956,-10964546.717752941,42013356460000
3341226.617261443,-10964533.916011501,42013356470000
3341232.075960045,-10964524.231215801,42013356480000
3348826.412839625,-10936483.853360392,42013356650000
3348834.6690934603,-10936491.311766276,42013356660000
3335215.2866300135,-10996289.693191625,42013356730000
3335226.1990884244,-10996291.585622968,42013356740000
3335237.2384450017,-10996293.478054313,42013356750000
3335248.277810749,-10996295.370485654,42013356760000
3335609.1559203635,-10965014.148294782,42013356770000
3335599.892752102,-10965020.382186268,42013356780000
3335590.6295902953,-10965026.616077753,42013356790000
3335581.2395424535,-10965032.627330253,42013356800000
3348842.9253524425,-10936498.77017216,42013357050000
3355670.7090624124,-10944873.112825556,42013357100000
3355677.6987373265,-10944864.318585783,42013357110000
3355684.5613308395,-10944855.6356655,42013357120000
3336471.1664015534,-10996418.712481454,42013357500000
3336481.6991881514,-10996415.706855202,42013357510000
3335808.252152636,-10996419.825676363,42013357520000
3335819.291992771,-10996421.718107706,42013357530000
3335830.204947209,-10996423.61053905,42013357540000
3336492.61268669,-10996412.58990946,42013357550000
3355904.5474656667,-10930662.845867323,42013357570000
3355890.3137055165,-10930676.64948418,42013357580000
3355897.176409389,-10930671.306148622,42013357590000
3355882.815570171,-10930684.8871265,42013357600000
3355875.698699876,-10930693.570046782,42013357610000
3355868.454746549,-10930702.030328082,42013357620000
3295505.939763594,-10891603.062937777,42025312100000
3319439.016329101,-10910142.656212453,
3871839.6323943767,-11284221.897588568,
3871725.0479416163,-11283526.03945162,42025335730000
3870690.1293227356,-11281741.699333694,42033305030000
3870579.5296821897,-11282266.570732784,42033306310000
3871263.5422058254,-11281925.487812994,42033307210000
3729035.126113838,-10837047.27293134,42033307760000
3729210.0012559034,-10838141.209567362,42033308180000
3956605.1845231047,-10527829.891338794,42035301410000
3404794.7838360337,-10634721.649385767,42035301420000
3119349.0651104623,-10914139.582529387,42037300280000
3119315.217210873,-10912306.15051602,42039323720000
3117435.600072773,-10912892.024996065,42047012580000
3117052.3388663973,-10915216.042005356,42047012630000
3116132.3797296337,-10914735.809722073,42047012720000
3116107.4054318415,-10913354.557480311,42047012730000
3114660.9696887876,-10916475.622043682,42047012750000
3112923.170722036,-10917344.13671085,42047012790000
3111760.42960807,-10917121.609048756,42047012880000
3112125.445583146,-10915625.475092493,42047012960000
3114292.1423583706,-10915451.03745042,42047013000000
3113732.302402795,-10912835.363375252,42047013040000
3112225.3148021353,-10916923.571674634,42047015140000
